variable,label,labelLong,section,subject,variableType,units,ICES confirmation,databaseStart,variableStart,description
SDCFIMM,Immigrant status,Immigrant Status (D),Sociodemographics,Migration,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i cchs2012_s","cchs2001_p::SDCAFIMM, cchs2003_p::SDCCFIMM, cchs2005_p::SDCEFIMM, cchs2015_2016_p::SDCDVIMM, cchs2017_2018_p::SDCDVIMM, cchs2001_i::SDCAFIMM, cchs2003_i::SDCCFIMM, cchs2005_i::SDCEFIMM, cchs2015_2016::SDCDVIMM, cchs2017_2018_i::SDCDVIMM, [SDCFIMM]",
SDCGCGT,Ethnicity,"Cultural or racial origin - (D, G)",Sociodemographics,Ethnicity,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_i, cchs2005_i,  cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SDCAGRAC, cchs2003_p::SDCCGRAC, cchs2005_p::SDCEGCGT, cchs2015_2016_p::SDCDGCGT, cchs2017_2018_p::SDCDGCGT, cchs2001_i::SDCAGRAC, cchs2003_i::SDCCDRAC, cchs_2005_i:: SDCEGCGT, cchs2015_2016_i::SDCDVCGT, cchs2017_2018_i::SDCDVCGT, [SDCGCGT]",
SDCDGT_A,Ethnicity,Cultural or racial origin - (D),Sociodemographics,Ethnicity,Categorical,N/A,Yes,"cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i ","cchs2003_i::SDCCDRAC, cchs2005_i::SDCEDCGT, cchs2015_2016_i::SDCDVCGT, cchs2017_2018_i::SDCDVCGT,  [SDCDCGT] ",
SDCDGT_B,Ethnicity,Cultural origin,Sociodemographics,Ethnicity,Categorical,N/A,Yes,"cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2003_i::SDCCDRAC, cchs2005_i::SDCEDCGT, cchs2015_2016_i::SDCDVCGT, cchs2017_2018_i::SDCDVCGT, [SDCDCGT] ",
SLP_02,Trouble sleeping,Freq. - trouble sleeping,Health behaviour,Sleep,Categorical,N/A,Yes,"cchs2007_2008_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2012_s, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i","cchs2015_2016_p::SLP_010, cchs2017_2018_p::SLP_010, cchs2015_2016_i::SLP_010, [SLP_02]",
SLP_02_A,Trouble sleeping,Freq. - trouble sleeping,Health behaviour,Sleep,Categorical,N/A,Yes,"cchs2001_p, cchs2001_i",[GENA_04],
SLP_03,Sleep refreshing,Freq. - find sleep refreshing,Health behaviour,Sleep,Categorical,N/A,Yes,"cchs2007_2008_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2012_s, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i","cchs2015_2016_p::SLP_015, cchs2017_2018_p::SLP_015, cchs2015_2016_i::SLP_015, [SLP_03]",
SLP_03_A,Sleep refreshing,Freq. - find sleep refreshing,Health behaviour,Sleep,Categorical,N/A,Yes,"cchs2001_p, cchs2001_i",[GENA_05],
SLPG01_B,Hours sleep,No./hours spent sleeping each night,Health behaviour,Sleep,Categorical,N/A,Yes,"cchs2011_2012_i, cchs2013_2014_i",[SLPG01],
SLPG01_C,Hours sleep,No./hours spent sleeping each night,Health behaviour,Sleep,Categorical,N/A,Yes,"cchs2001_i, cchs2015_2016_i","cchs2001_i::GENA_03, cchs2015_2016_i::SLP_009",
SMK_01A,s100,"In lifetime, smoked 100 or more cigarettes",Health behaviour,Smoking,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SMKA_01A, cchs2003_p::SMKC_01A, cchs2005_p::SMKE_01A, cchs2015_2016_p::SMK_020, cchs2017_2018_p::SMK_020, cchs2001_i::SMKA_01A, cchs2003_i::SMKC_01A, cchs2005_i::SMKE_01A, cchs2015_2016_i::SMK_020, cchs2017_2018_i::SMK_020, [SMK_01A]",
SMK_05B,cigdayo,# of cigarettes smoked daily - occasional smoker,Health behaviour,Smoking,Continuous,cigarettes,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SMKA_05B, cchs2003_p::SMKC_05B, cchs2005_p::SMKE_05B, cchs2015_2016_p::SMK_050, cchs2017_2018_p::SMK_050, [SMK_05B], cchs2001_1::SMKA_05B, cchs2003_i::SMKC_05B, cchs2005_i::SMKE_05B, cchs2015_2016_i::SMK_050, cchs2017_2018_i::SMK_050, [SMK_05B]",
SMK_05C,Number of days - smoked 1 cigarette or more (occ. smoker),"In the past month, on how many days have you smoked 1 or more cigarettes?",Health behaviour,Smoking,Continuous,days,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SMKA_05C, cchs2003_p::SMKC_05C, cchs2005_p::SMKE_05C, cchs2015_2016_p::SMK_055, cchs2017_2018_p::SMK_055, [SMK_05C], cchs2001_i::SMKA_05C, cchs2003_i::SMKC_05C, cchs2005_i::SMKE_05C, cchs2015_2016_i::SMK_055, cchs2017_2018_i::SMK_055, [SMK_05C]",
SMK_09A_cont,stpd,When did you stop smoking daily - former daily,Health behaviour,Smoking,Continuous,Years,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SMKA_09A, cchs2003_p::SMKC_09A, cchs2005_p::SMKE_09A, cchs2015_2016_p::SMK_080, cchs2017_2018_p::SMK_080, cchs2001_i::SMKA_09A, cchs2003_i::SMKC_09A, cchs2005_i::SMKE_09A, cchs2015_2016_i::SMK_080, cchs2017_2018_i::SMK_080, [SMK_09A]",
SMK_204,cigdayd,# of cigarettes smoked daily - daily smoker,Health behaviour,Smoking,Continuous,cigarettes,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SMKA_204, cchs2003_p::SMKC_204, cchs2005_p::SMKE_204, cchs2015_2016_p::SMK_045, cchs2017_2018_p::SMK_045, [SMK_204]",
SMK_208,# of cigarettes smoke each day - former daily,# of cigarettes smoked each day - former daily smoker,Health behaviour,Smoking,Continuous,cigarettes,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SMKA_208, cchs2003_p::SMKC_208, cchs2005_p::SMKE_208, cchs2015_2016_p::SMK_075, cchs2017_2018_p::SMK_075, [SMK_208]",
SMKDSTY_A,Smoking status,"Type of smoker: daily, occasional, always occasional, former daily, former occasional, never",Health behaviour,Smoking,Categorical,N/A,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, cchs2001_i::SMKADSTY, cchs2003_i::SMKCDSTY, cchs2005_i::SMKEDSTY, [SMKDSTY]","2015 onwards for smoke status still has 6 categories, but removed 'always occasional' (Never daily current occasional smoker) and added 'experimental' (at least 1 cig, non-smoker now)"
SMKDSTY_cat5,Smoking status,"Type of smoker: daily, occasional, former daily, former occasional, never",Health behaviour,Smoking,Categorical,N/A,Yes,"cchs2015_2016_p, cchs2017_2018, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, cchs2015_2016_p::SMKDVSTY, cchs2017_2018_p::SMKDVSTY, [SMKDSTY]","Re-categorization of SMKDSTY to be used for smoking imputation. SMKDSTY_cat5 is a 5 category variable for smoking status for cycles up to 2018. Prior to 2015, 'occasional' and 'always occasional' are combined to form the current 'occasional' category. 2015 onwards, 'former occasional' and 'experimental' are combined to form the current 'former occasional' category"
SMKG01C_A,agec1,Age smoked first cigarette,Health behaviour,Smoking,Categorical,Years,Yes,"cchs2001_p, cchs2003_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2009_s, cchs2010_s, cchs2012_s, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::SMKAG01C, cchs2003_p::SMKCG01C,  cchs2001_i::SMKAG01C, cchs2003_i::SMKC_01C, cchs2005_i::SMKE_01C, cchs2015_2016_i::SMK_035, cchs2017_2018_i::SMK_035, [SMK_01C]",
SMKG01C_cont,agec1,Age smoked first cigarette,Health behaviour,Smoking,Continuous,Years,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::SMKAG01C, cchs2003_p::SMKCG01C, cchs2005_p::SMKEG01C, cchs2015_2016_p::SMKG035, cchs2017_2018_p::SMKG035, cchs2009_s::SMK_01C, cchs2010_s::SMK_01C, cchs2012_s::SMK_01C, cchs2003_i::SMKC_01c, cchs2005_i::SMKE_01C, [SMKG01C]",
SMKG09C,stpdy,Years since stopped smoking daily - former daily,Health behaviour,Smoking,Categorical,Years,Yes,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i,  cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2003_p::SMKCG09C, cchs2005_p::SMKEG09C, cchs2015_2016_p::SMKG090, cchs2017_2018_p::SMKG090, cchs2009_s::SMK_09C, cchs2010_s::SMK_09C, cchs2012_s::SMK_09C, cchs2003_i::SMKC_09C, cchs2005_i::SMKE_09C, cchs2015_2016_i::SMK_090, cchs2017_2018_i::SMK_090, [SMKG09C]",
SMKG203_A,agecigd,Age started to smoke daily - daily smoker (G),Health behaviour,Smoking,Categorical,Years,Yes,"cchs2001_p, cchs2003_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i ","cchs2001_p::SMKAG203, cchs2003_p::SMKCG203, cchs2001_i::SMKAG203, cchs2003_i::SMKC_203, cchs2005_i::SMKE_203, [SMK_203]",
SMKG203_cont,agecigd,Age started to smoke daily - daily smoker (G),Health behaviour,Smoking,Continuous,Years,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i,  cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i ","cchs2001_p::SMKAG203, cchs2003_p::SMKCG203, cchs2005_p::SMKEG203, cchs2009_s::SMK_203, cchs2010_s::SMK_203, cchs2012_s::SMK_203, cchs2001_i::SMKAG203, [SMKG203], DerivedVar::[SMK_005, SMKG040]",
SMKG207_A,agecigfd,Age started to smoke daily - former daily smoker,Health behaviour,Smoking,Categorical,Years,Yes,"cchs2001_p, cchs2003_p, cchs2009_s, cchs2010_s, cchs2012_s,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::SMKAG207, cchs2003_p::SMKCG207, cchs2001_i::SMKAG207, cchs2003_i::SMKC_207, cchs2005_i::SMKE_207, [SMK_207]",
SMKG207_cont,agecigfd,Age started to smoke daily - former daily smoker,Health behaviour,Smoking,Continuous,Years,Yes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i ","cchs2001_p::SMKAG207, cchs2003_p::SMKCG207, cchs2005_p::SMKEG207, cchs2009_s::SMK_207, cchs2010_s::SMK_207, cchs2012_s::SMK_207, cchs2003_i::SMKC_207, cchs2005_i::SMKE_207, [SMKG207], DerivedVar::[SMK_030, SMKG040]",
