variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description
HUIGHER,"outcome_sec, table1_master,  table1_long",HUI Hearing,"Hearing problems - function code (D, G)",Health status,HUI Hearing,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2013_2014_p","cchs2001_p::HUIAGHER, cchs2003_p::HUICGHER, cchs2005_p::HUIEGHER, [HUIGHER]",
HUIGMOB,"outcome_sec, table1_master,  table1_long",HUI Mobility,"Mobility trouble - function code (D, G)",Health status,HUI Mobility,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2013_2014_p","cchs2001_p::HUIAGMOB, cchs2003_p::HUICGMOB, cchs2005_p::HUIEGMOB, [HUIGMOB]",
HUIGSPE,"outcome_sec, table1_master,  table1_long",HUI Speech,"Speech trouble - function code - (D, G)",Health status,HUI Speech,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2013_2014_p","cchs2001_p::HUIAGSPE, cchs2003_p::HUICGSPE, cchs2005_p::HUIEGSPE, [HUIGSPE]",
HUIGVIS,"outcome_sec, table1_master,  table1_long",HUI Vision,"Vision trouble - function code - (D, G)",Health status,HUI Vision,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2013_2014_p","cchs2001_p::HUIAGVIS, cchs2003_p::HUICGVIS, cchs2005_p::HUIEGVIS, [HUIGVIS]",
HUPDPAD,"outcome_sec, table1_master,  table1_long",HUI Pain,Act. prevent/pain - function code - (D),Health status,HUI Pain,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2013_2014_p","cchs2001_p::HUIADPAD, cchs2003_p::HUICDPAD, cchs2005_p::HUIEDPAD, [HUPDPAD]",
HWTGBMI_der,"predictor, table1_short, table1_master",Derived BMI,Derived Body Mass Index,Health status,BMI,Continuous,kg/m2,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","DerivedVar::[HWTGHTM, HWTGWTK]",
HWTGHTM,intermediate,Height,"Height (metres)/self-reported - (D,G)",Health status,Height,Continuous,meters,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::HWTAGHT, cchs2003_p::HWTCGHT, cchs2005_p::HWTEGHTM, [HWTGHTM]",
HWTGWTK,intermediate,Weight,"Weight - kilograms (D, G)",Health status,Weight,Continuous,kg,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::HWTAGWTK, cchs2003_p::HWTCGWTK, cchs2005_p::HWTEGWTK, [HWTGWTK]",
id_year,id,Unique ID,Unique ID,N/A,N/A,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","DerivedVar::[data_name, ADM_RNO]",
INCDRCA,"predictor, table1_short, table1_master",Household income distribution,Household income distribution - (D),Sociodemographics,Income,Categorical,N/A,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2005_p::INCEDRCA, [INCDRCA]",
INCDRPR,"table1_long, table1_master",Household income distribution provincial level,Hhld inc. distribution-prov. level - (D),Sociodemographics,Income,Categorical,N/A,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2005_p::INCEDRPR, [INCDRPR]",
INCGHH_cont,"table1_long, table1_master",Household income,Total household income from all sources - continuous,Sociodemographics,Income,Continuous,$/year,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::INCAGHH, cchs2003_p::INCCGHH, cchs2005_p::INCEGHH, [INCGHH]",
INCGPER_cont,"table1_long, table1_master",Personal Income,"Total pers. inc. from all sources (D, G)",Sociodemographics,Income,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::INCAGPER, cchs2003_p::INCCGPER, cchs2005_p::INCEGPER, [INCGPER]",
LBFA_31A_a,"table1_long, table1_master",Occupation group (5 categories),Occupation group (5 categories),Sociodemographics,Occupation,Categorical,N/A,"cchs2001_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::LBFA_31A, [LBSGSOC]",
number_conditions,"predictor, table1_short, table1_master",Number of chronic conditions,Number of chronic conditions,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","DerivedVar::[CCC_121, CCC_131, CCC_151, CCC_171, CCC_280, resp_condition, CCC_051]",
PAC_4A,intermediate,Time walk work/school in week,"In a typical week in the past 3 months, how many hours did you usually spend walking to work or to school or while doing errands",Health behaviour,Exercise,Categorical,hours/week,"cchs2001_p, cchs2003_p, cchs2005_p","cchs2001_p::PACA_4A, cchs2003_p::PACC_4A, cchs2005_p::PACE_4A",
PAC_4B,intermediate,Time bike work/school in week,"In a typical week in the past 3 months, how many hours did you usually spend walking to work or to school or while doing errands",Health behaviour,Exercise,Categorical,hours/week,"cchs2001_p, cchs2003_p, cchs2005_p","cchs2001_p::PACA_4B, cchs2003_p::PACC_4B, cchs2005_p::PACE_4B",
PAC_7,intermediate,Walk to work/school,Walked to work or school / last 3 mo.,Health behaviour,Exercise,Categorical,N/A,"cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p",[PAC_7],
PAC_7A,intermediate,Number times walk work/school,No. of times/3 mo./walking work/school,Health behaviour,Exercise,Continuous,N/A,"cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p",[PAC_7A],
PAC_7B,intermediate,Time walk work/school,Time spent - walking to go work/school,Health behaviour,Exercise,Categorical,mins,"cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p",[PAC_7B],
PAC_8,intermediate,Bike to work/school,Bicycled to work or school / last 3 mo.,Health behaviour,Exercise,Categorical,N/A,"cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p",[PAC_8],
PAC_8A,intermediate,Number times bike work/school,No. of times/3 mo./bicycl. work/school,Health behaviour,Exercise,Continuous,times/3 mos.,"cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p",[PAC_8A],
PAC_8B,intermediate,Time bike work/school,Time spent - walking to go work/school,Health behaviour,Exercise,Categorical,N/A,"cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p",[PAC_8B],
PACDEE,"predictor, table1_short, table1_master",Physical activity,Daily energy expenditure - (D),Health behaviour,Exercise,Continuous,METS,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::PACADEE, cchs2003_p::PACCDEE, cchs2005_p::PACEDEE, [PACDEE]",
pack_years_der,"predictor, table1_long, table1_master",Smoking pack-years,Smoking pack-years,Health behaviour,Smoking,Continuous,Years,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","DerivedVar::[SMKDSTY_A, DHHGAGE_cont, time_quit_smoking, SMKG203_cont, SMKG207_cont, SMK_204, SMK_05B, SMK_208, SMK_05C, SMKG01C_cont, SMK_01A]",
pct_time_der,"predictor, table1_long, table1_master",Percent time in Canada,Percentage of time in Canada,Sociodemographics,Migration,Continuous,%,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","DerivedVar::[DHHGAGE_cont, SDCGCBG, SDCGRES]",
RAC_1,"intermediate, outcome_sec, table1_master",Difficulty activities,Has difficulty with activities,Health status,ADL,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::RACA_1, cchs2003_p::RACC_1, cchs2005_p::RACE_1, [RAC_1]",
RAC_2A,"intermediate, outcome_sec, table1_master",Reduction activities at home,Reduction - activities at home,Health status,ADL,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::RACA_2A, cchs2003_p::RACC_2A, cchs2005_p::RACE_2A, [RAC_2A]",
RAC_2B,"intermediate, outcome_sec, table1_master",Reduction activities at school or work,Long-term cond. reduces act. - school or work,Health status,ADL,Categorical,N/A,cchs2001_p,cchs2001_p::RACA_2B,
RAC_2B1,"intermediate, outcome_sec, table1_master",Reduction activities at school,Long-term cond. reduces act. - school,Health status,ADL,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2003_p::RACC_2B1, cchs2005_p::RACE_2B1, [RAC_2B1]",
RAC_2B2,"intermediate, outcome_sec, table1_master",Reduction activities at work,Reduction kind/amount act. - at work,Health status,ADL,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2003_p::RACC_2B2, cchs2005_p::RACE_2B2, [RAC_2B2]",
RAC_2C,"intermediate, outcome_sec, table1_master",Reduction other activities,Reduction - other activities,Health status,ADL,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::RACA_2C, cchs2003_p::RACC_2C, cchs2005_p::RACE_2C, [RAC_2C]",
RACDIMP,"predictor, table1_short, outcome_sec, table1_master",Impact health problem,Impact of health problems,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::RACADIMP, cchs2003_p::RACCDIMP, cchs2005_p::RACEDIMP, [RACDIMP]",
RACDPAL,"predictor, table1_short, outcome_sec, table1_master",Particpation/activity limitation,Participation and activity limitation,Health status,ADL,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::[DerivedVar::[RAC_1, RAC_2A, RAC_2B, RAC_2C]], cchs2003_p::RACCDPAL, cchs2005_p::RACEDPAL, [RACDPAL]",
RACG5,"predictor, table1_short, table1_master",Cause health problem,Cause of Health problem,Health status,Chronic condition,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2003_p::RACCG5, cchs2005_p::RACEG5, [RACG5]",
resp_condition_der,"predictor, table1_short, table1_master",Respiratory Condition,Respiratory condition,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","DerivedVar::[DHHGAGE_cont, CCC_091], DerivedVar::[DHHGAGE_cont, CCC_91E, CCC_91F, CCC_91A], DerivedVar::[DHHGAGE_cont, CCC_091, CCC_91A]",
SDCFIMM,"predictor, table1_short, table1_master",Immigrant status,Immigrant Status (D),Sociodemographics,Migration,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SDCAFIMM, cchs2003_p::SDCCFIMM, cchs2005_p::SDCEFIMM, [SDCFIMM]",
SDCGCBG,"predictor, table1_short, table1_master",Country of birth,Country of birth - (G),Sociodemographics,Migration,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SDCAGCBG, cchs2003_p::SDCCGCBG, cchs2005_p::SDCEGCBG, cchs2011_2012_p::SDCGCB12::SDCGCB12, cchs2013_2014_p::SDCGCB13::SDCGCB13, [SDCGCBG]",
SDCGCGT,"predictor, table1_short, table1_master",Ethnicity,"Cultural or racial origin - (D, G)",Sociodemographics,Ethnicity,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SDCAGRAC, cchs2003_p::SDCCGRAC, cchs2005_p::SDCEGCGT, [SDCGCGT]",
SDCGRES,intermediate,Time in Canada,"Length/time in Canada since imm. (D, G)",Sociodemographics,Migration,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SDCAGRES, cchs2003_p::SDCCGRES, cchs2005_p::SDCEGRES, [SDCGRES]",
SLPG01_cont,"predictor, table1_long, table1_master",Hours sleep,No./hours spent sleeping each night,Health behaviour,Sleep,Continuous,N/A,"cchs2001_p, cchs2007_2008_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::GENA_03, cchs2007_2008_p::SLP_01, [SLPG01]",
SMK_01A,intermediate,s100,"In lifetime, smoked 100 or more cigarettes",Health behaviour,Smoking,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_01A, cchs2003_p::SMKC_01A, cchs2005_p::SMKE_01A, [SMK_01A]",
SMK_05B,intermediate,cigdayo,# of cigarettes smoked daily - occasional smoker,Health behaviour,Smoking,Continuous,cigarettes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_05B, cchs2003_p::SMKC_05B, cchs2005_p::SMKE_05B, [SMK_05B]",
SMK_05C,intermediate,dayocc,# days smoked at least 1 cigarette,Health behaviour,Smoking,Continuous,days,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_05C, cchs2003_p::SMKC_05C, cchs2005_p::SMKE_05C, [SMK_05C]",
SMK_05D,intermediate,evd,Ever smoked cigarettes daily - occasional smoker,Health behaviour,Smoking,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_05D, cchs2003_p::SMKC_05D, cchs2005_p::SMKE_05D, [SMK_05D]",
SMK_06A_A,intermediate,stpn,When did you stop smoking daily - never daily,Health behaviour,Smoking,Categorical,Years,cchs2001_p,cchs2001_p::SMKA_06A,
SMK_06A_B,intermediate,stpn,When did you stop smoking daily - occasional,Health behaviour,Smoking,Categorical,Years,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2003_p::SMKC_06A, cchs2005_p::SMKE_06A, [SMK_06A]",
SMK_06A_cont,intermediate,stpn,When did you stop smoking daily - occasional,Health behaviour,Smoking,Continuous,Years,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_06A, cchs2003_p::SMKC_06A, cchs2005_p::SMKE_06A, [SMK_06A]",
SMK_09A_A,intermediate,stpd,When did you stop smoking daily - former daily,Health behaviour,Smoking,Categorical,Years,cchs2001_p,cchs2001_p::SMKA_09A,
SMK_09A_B,intermediate,stpd,When did you stop smoking daily - former daily,Health behaviour,Smoking,Categorical,Years,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2003_p::SMKC_09A, cchs2005_p::SMKE_09A, [SMK_09A]",
SMK_09A_cont,intermediate,stpd,When did you stop smoking daily - former daily,Health behaviour,Smoking,Continuous,Years,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_09A, cchs2003_p::SMKC_09A, cchs2005_p::SMKE_09A, [SMK_09A]",
SMK_204,intermediate,cigdayd,# of cigarettes smoked daily - daily smoker,Health behaviour,Smoking,Continuous,cigarettes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_204, cchs2003_p::SMKC_204, cchs2005_p::SMKE_204, [SMK_204]",
SMK_208,intermediate,cigdayf,# of cigarettes smoke each day - former daily,Health behaviour,Smoking,Continuous,cigarettes,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKA_208, cchs2003_p::SMKC_208, cchs2005_p::SMKE_208, [SMK_208]",
SMKDSTY,Drop,Smoking status,Type of smoker,Health behaviour,Smoking,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, [SMKDSTY]",
SMKDSTY_A,intermediate,Smoking status,"Type of smoker: daily, occasional, always occasional, former daily, former occasional, never",Health behaviour,Smoking,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, [SMKDSTY]","2015 onwards for smoke status still has 6 categories, but removed 'always occasional' (Never daily current occasional smoker) and added 'experimental' (at least 1 cig, non-smoker now)"
SMKG01C_A,intermediate,agec1,Age smoked first cigarette,Health behaviour,Smoking,Categorical,Years,"cchs2001_p, cchs2003_p","cchs2001_p::SMKAG01C, cchs2003_p::SMKCG01C",
SMKG01C_B,intermediate,agec1,Age smoked first cigarette,Health behaviour,Smoking,Categorical,Years,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2005_p::SMKEG01C, [SMKG01C]",
SMKG01C_cont,intermediate,agec1,Age smoked first cigarette,Health behaviour,Smoking,Continuous,Years,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKAG01C, cchs2003_p::SMKCG01C, cchs2005_p::SMKEG01C, [SMKG01C]",
SMKG06C,intermediate,stpny,Years since stopped smoking daily - never daily,Health behaviour,Smoking,Categorical,Years,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2003_p::SMKCG06C, cchs2005_p::SMKEG06C, [SMKG06C]",
SMKG09C,intermediate,stpdy,Years since stopped smoking daily - former daily,Health behaviour,Smoking,Categorical,Years,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2003_p::SMKCG09C, cchs2005_p::SMKEG09C, [SMKG09C]",
SMKG203_A,intermediate,agecigd,Age started to smoke daily - daily smoker (G),Health behaviour,Smoking,Categorical,Years,"cchs2001_p, cchs2003_p","cchs2001_p::SMKAG203, cchs2003_p::SMKCG203",
SMKG203_B,intermediate,agecigd,Age started to smoke daily - daily smoker (G),Health behaviour,Smoking,Categorical,Years,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2005_p::SMKEG203, [SMKG203]",
SMKG203_cont,intermediate,agecigd,Age started to smoke daily - daily smoker (G),Health behaviour,Smoking,Continuous,Years,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKAG203, cchs2003_p::SMKCG203, cchs2005_p::SMKEG203, [SMKG203]",
SMKG207_A,intermediate,agecigfd,Age started to smoke daily - former daily smoker,Health behaviour,Smoking,Categorical,Years,"cchs2001_p, cchs2003_p","cchs2001_p::SMKAG207, cchs2003_p::SMKCG207",
SMKG207_B,intermediate,agecigfd,Age started to smoke daily - former daily smoker,Health behaviour,Smoking,Categorical,Years,"cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2005_p::SMKEG207, [SMKG207]",
SMKG207_cont,Drop,agecigfd,Age started to smoke daily - former daily smoker,Health behaviour,Smoking,Continuous,Years,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::SMKAG207, cchs2003_p::SMKCG207, cchs2005_p::SMKEG207, [SMKG207]",
smoke_simple,"predictor, table1_short, table1_master",Simple smoking status,Simple smoking status,Health behaviour,Smoking,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","DerivedVar::[SMKDSTY_cat5, time_quit_smoking]",
SurveyCycle,survey-cycle,Survey year,Represents the survey cycle from where the observation came from,N/A,N/A,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p",DerivedVar::[data_name],
time_quit_smoking,"intermediate, table1_master",Time since quit,Time since quit smoking,Health behaviour,Smoking,Continuous,Years,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","DerivedVar::[SMK_09A_B, SMKG09C]",
WTS_M,survey_design,Weight,Weights,N/A,N/A,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p","cchs2001_p::WTSAM, cchs2003_p::WTSC_M, cchs2005_p::WTSE_M, [WTS_M]",
potato_add,"intermediate, z_score",,,Health behaviour,Diet,Continuous,N/A,WorkingData::2,[FVCDPOT],
potato_minus,"intermediate, z_score",,,Health behaviour,Diet,Continuous,N/A,WorkingData::2,[FVCDPOT],
FVCDCAR_Z,intermediate,,,Health behaviour,Diet,Continuous,N/A,WorkingData::3,[FVCDCAR],
FVCDFRU_Z,intermediate,,,Health behaviour,Diet,Continuous,N/A,WorkingData::3,[FVCDFRU],
FVCDJUI_Z,intermediate,,,Health behaviour,Diet,Continuous,N/A,WorkingData::3,[FVCDJUI],
FVCDPOT_Z,intermediate,,,Health behaviour,Diet,Continuous,N/A,WorkingData::3,[FVCDPOT],
FVCDSAL_Z,intermediate,,,Health behaviour,Diet,Continuous,N/A,WorkingData::3,[FVCDSAL],
FVCDVEG_Z,intermediate,,,Health behaviour,Diet,Continuous,N/A,WorkingData::3,[FVCDVEG],
potato_add_Z,intermediate,,,Health behaviour,Diet,Continuous,N/A,WorkingData::3,[potato_add],
potato_minus_Z,intermediate,,,Health behaviour,Diet,Continuous,N/A,WorkingData::3,[potato_minus],
diet_score_simp,"predictor, table1_long",Simplified Diet Score,Simplified Diet Score,Health behaviour,Diet,Continuous,N/A,WorkingData::4,"[FVCDCAR_Z, FVCDFRU_Z, FVCDJUI_Z, FVCDPOT_Z, FVCDSAL_Z, potato_add_Z, potato_minus_Z]

FVCDVEG_z, potato_add_z, potato_minus_z]",
